JoinField,UNIQUE_ID,COUNTYFP,Parish,Precinct,G24PREDHAR,G24PRERTRU,G24PRETOT,G24A1NO,G24A1YES,G24PRELOLI,G24PREOCRU,G24PREOFRU,G24PREOKEN,G24PREOPRE,G24PREOSON,G24PREOSTE,G24PREOTER,G24PREOWES,GCON01DMAN,GCON01NHYE,GCON01RARR,GCON01RSCA,GCON01RSHA,GCON02DCAR,GCON02DDAV,GCON02RGRA,GCON02RLYN,GCON02RPER,GCON03DGON,GCON03DSUM,GCON03RHIG,GCON03RJOH,GCON04RJOH,GCON04RMOR,GCON05DVAL,GCON05RLET,GCON05RMEN,GCON06DAND,GCON06DFIE,GCON06DJON,GCON06DWIL,GCON06RGUI
017;5-9,Caddo-0-5-09,017,Caddo,00 05-09,506,40,551,162,320,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,403,8,9,28
017;6-1,Caddo-0-6-01,017,Caddo,00 06-01,285,312,620,168,443,12,0,0,1,0,3,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438,150,0,0,0,0,0,0,0,0
017;6-10,Caddo-0-6-10,017,Caddo,00 06-10,275,111,390,135,234,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,197,7,8,91
017;6-2,Caddo-0-6-02,017,Caddo,00 06-02,523,18,549,166,284,1,3,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,390,10,27,4
017;6-3,Caddo-0-6-03,017,Caddo,00 06-03,407,34,443,142,273,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,318,8,9,32
017;6-4,Caddo-0-6-04,017,Caddo,00 06-04,606,42,660,199,370,1,4,2,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,463,16,22,23
017;6-5,Caddo-0-6-05,017,Caddo,00 06-05,365,47,416,114,258,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,296,11,5,26
017;6-6,Caddo-0-6-06,017,Caddo,00 06-06,494,218,725,240,426,1,0,1,3,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,373,19,9,179
017;6-7,Caddo-0-6-07,017,Caddo,00 06-07,691,94,792,245,486,0,0,0,1,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,525,22,5,74
017;6-8,Caddo-0-6-08,017,Caddo,00 06-08,859,256,1134,354,725,1,0,0,7,4,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,619,26,34,215
017;6-9,Caddo-0-6-09,017,Caddo,00 06-09,728,343,1083,318,690,3,0,1,4,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,537,14,22,287
017;7-1,Caddo-0-7-01,017,Caddo,00 07-01,175,183,360,93,241,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,60,0,0,0,0,0,0,0,0
017;7-10,Caddo-0-7-10,017,Caddo,00 07-10,667,207,880,280,544,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,518,16,14,181
017;7-2,Caddo-0-7-02,017,Caddo,00 07-02,396,332,732,256,449,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,311,7,17,334
017;7-3,Caddo-0-7-03,017,Caddo,00 07-03,545,125,677,187,473,0,1,0,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,453,15,14,91
017;7-4,Caddo-0-7-04,017,Caddo,00 07-04,518,24,549,178,295,3,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,427,18,7,11
017;7-5,Caddo-0-7-05,017,Caddo,00 07-05,426,9,444,130,273,0,0,0,1,1,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,318,11,10,4
017;7-6,Caddo-0-7-06,017,Caddo,00 07-06,767,43,813,228,495,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,574,12,24,23
017;7-7,Caddo-0-7-07,017,Caddo,00 07-07,457,24,486,123,269,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,325,7,10,13
017;7-8,Caddo-0-7-08,017,Caddo,00 07-08,968,100,1073,378,602,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,711,23,27,89
017;7-9,Caddo-0-7-09,017,Caddo,00 07-09,868,92,965,304,578,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,643,27,19,64
017;8-1,Caddo-0-8-01,017,Caddo,00 08-01,199,406,619,169,441,4,0,0,6,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444,135,0,0,0,0,0,0,0,0
017;8-2,Caddo-0-8-02,017,Caddo,00 08-02,234,649,898,221,639,5,0,0,3,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,678,164,0,0,0,0,0,0,0,0
017;8-3,Caddo-0-8-03,017,Caddo,00 08-03,367,716,1106,273,774,7,4,0,0,3,4,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,809,201,0,0,0,0,0,0,0,0
017;8-4,Caddo-0-8-04,017,Caddo,00 08-04,411,593,1020,256,688,7,0,0,4,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,735,181,0,0,0,0,0,0,0,0
017;8-5,Caddo-0-8-05,017,Caddo,00 08-05,282,606,898,206,660,3,0,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,694,152,0,0,0,0,0,0,0,0
017;8-6,Caddo-0-8-06,017,Caddo,00 08-06,289,328,629,164,445,3,0,0,4,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407,166,0,0,0,0,0,0,0,0
017;8-7,Caddo-0-8-07,017,Caddo,00 08-07,328,653,994,275,641,3,3,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711,158,0,0,0,0,0,0,0,0
017;8-8,Caddo-0-8-08,017,Caddo,00 08-08,333,455,807,206,529,4,0,0,3,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549,177,0,0,0,0,0,0,0,0
017;8-9,Caddo-0-8-09,017,Caddo,00 08-09,258,421,689,178,449,1,0,0,1,1,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475,141,0,0,0,0,0,0,0,0
017;9-1,Caddo-0-9-01,017,Caddo,00 09-01,329,633,984,240,682,1,0,0,3,1,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680,187,0,0,0,0,0,0,0,0
017;9-10,Caddo-0-9-10,017,Caddo,00 09-10,32,214,248,69,164,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,33,0,0,0,0,0,0,0,0
017;9-11,Caddo-0-9-11,017,Caddo,00 09-11,229,809,1054,289,686,8,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,901,108,0,0,0,0,0,0,0,0
017;9-12,Caddo-0-9-12,017,Caddo,00 09-12,275,749,1048,302,701,5,0,0,8,4,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,855,141,0,0,0,0,0,0,0,0
017;9-13,Caddo-0-9-13,017,Caddo,00 09-13,48,294,342,123,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,31,0,0,0,0,0,0,0,0
017;9-2,Caddo-0-9-02,017,Caddo,00 09-02,177,397,588,133,421,4,0,0,3,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455,106,0,0,0,0,0,0,0,0
017;9-3,Caddo-0-9-03,017,Caddo,00 09-03,87,306,402,111,258,1,0,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,52,0,0,0,0,0,0,0,0
017;9-4,Caddo-0-9-04,017,Caddo,00 09-04,110,247,361,93,249,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,40,0,0,0,0,0,0,0,0
017;9-5,Caddo-0-9-05,017,Caddo,00 09-05,109,460,579,154,391,1,0,1,3,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475,71,0,0,0,0,0,0,0,0
017;9-6,Caddo-0-9-06,017,Caddo,00 09-06,290,363,660,213,396,0,0,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,148,0,0,0,0,0,0,0,0
017;9-7,Caddo-0-9-07,017,Caddo,00 09-07,183,919,1126,304,789,5,0,0,10,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,965,96,0,0,0,0,0,0,0,0
017;9-8,Caddo-0-9-08,017,Caddo,00 09-08,182,787,1002,276,656,8,0,0,4,4,1,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,882,102,0,0,0,0,0,0,0,0
017;9-9,Caddo-0-9-09,017,Caddo,00 09-09,207,734,955,282,596,4,0,0,4,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,834,96,0,0,0,0,0,0,0,0
019;160E,Calcasieu-0-160E,019,Calcasieu,00 160E,81,548,638,152,452,3,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540,78,0,0,0,0,0,0,0,0
019;160W,Calcasieu-0-160W,019,Calcasieu,00 160W,45,476,529,139,356,2,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469,54,0,0,0,0,0,0,0,0
019;161,Calcasieu-0-161,019,Calcasieu,00 161,52,521,576,168,364,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479,72,0,0,0,0,0,0,0,0
019;162E,Calcasieu-0-162E,019,Calcasieu,00 162E,108,862,988,265,684,9,2,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,858,125,0,0,0,0,0,0,0,0
019;162W,Calcasieu-0-162W,019,Calcasieu,00 162W,57,599,666,148,472,5,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572,64,0,0,0,0,0,0,0,0
019;163,Calcasieu-0-163,019,Calcasieu,00 163,102,799,914,221,646,5,2,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,776,129,0,0,0,0,0,0,0,0
019;164,Calcasieu-0-164,019,Calcasieu,00 164,57,431,497,155,304,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423,58,0,0,0,0,0,0,0,0
019;165,Calcasieu-0-165,019,Calcasieu,00 165,128,775,921,239,642,6,0,0,6,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,776,123,0,0,0,0,0,0,0,0
019;166E,Calcasieu-0-166E,019,Calcasieu,00 166E,99,493,603,181,392,3,3,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525,68,0,0,0,0,0,0,0,0
019;166W,Calcasieu-0-166W,019,Calcasieu,00 166W,147,529,683,166,458,3,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,93,0,0,0,0,0,0,0,0
019;167,Calcasieu-0-167,019,Calcasieu,00 167,101,591,698,205,462,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,35,531,40,0,0,0,0,0,0,0,0,0,0
019;260,Calcasieu-0-260,019,Calcasieu,00 260,138,1237,1388,278,1073,2,0,0,2,2,2,3,0,2,0,0,0,0,0,0,0,0,0,0,75,34,1219,45,0,0,0,0,0,0,0,0,0,0
019;261,Calcasieu-0-261,019,Calcasieu,00 261,14,401,422,110,288,0,0,0,3,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,16,7,372,11,0,0,0,0,0,0,0,0,0,0
019;262,Calcasieu-0-262,019,Calcasieu,00 262,41,446,494,122,336,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,9,413,14,0,0,0,0,0,0,0,0,0,0
019;300,Calcasieu-0-300,019,Calcasieu,00 300,737,57,811,243,490,2,2,0,3,3,3,2,0,2,0,0,0,0,0,0,0,0,0,0,452,158,81,16,0,0,0,0,0,0,0,0,0,0
019;301,Calcasieu-0-301,019,Calcasieu,00 301,623,55,697,252,432,2,0,0,6,3,2,2,0,4,0,0,0,0,0,0,0,0,0,0,380,157,71,12,0,0,0,0,0,0,0,0,0,0
019;302,Calcasieu-0-302,019,Calcasieu,00 302,92,80,179,53,120,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,65,21,69,7,0,0,0,0,0,0,0,0,0,0
019;303,Calcasieu-0-303,019,Calcasieu,00 303,282,12,298,108,184,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,188,62,14,5,0,0,0,0,0,0,0,0,0,0
019;304,Calcasieu-0-304,019,Calcasieu,00 304,392,63,469,159,248,2,0,2,3,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,222,75,79,5,0,0,0,0,0,0,0,0,0,0
019;305,Calcasieu-0-305,019,Calcasieu,00 305,568,31,607,216,392,0,0,0,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,398,117,43,11,0,0,0,0,0,0,0,0,0,0
019;306,Calcasieu-0-306,019,Calcasieu,00 306,246,738,1005,161,818,8,0,0,3,2,3,2,3,0,0,0,0,0,0,0,0,0,0,0,161,60,678,63,0,0,0,0,0,0,0,0,0,0
019;307,Calcasieu-0-307,019,Calcasieu,00 307,172,23,202,58,138,2,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,122,34,26,2,0,0,0,0,0,0,0,0,0,0
019;308,Calcasieu-0-308,019,Calcasieu,00 308,419,22,445,186,254,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,269,99,43,0,0,0,0,0,0,0,0,0,0,0
019;309E,Calcasieu-0-309E,019,Calcasieu,00 309E,138,16,156,62,92,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,32,14,4,0,0,0,0,0,0,0,0,0,0
019;309W,Calcasieu-0-309W,019,Calcasieu,00 309W,365,47,420,155,246,0,0,0,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,210,78,61,7,0,0,0,0,0,0,0,0,0,0
019;310,Calcasieu-0-310,019,Calcasieu,00 310,212,161,392,79,320,3,0,0,2,2,0,6,0,6,0,0,0,0,0,0,0,0,0,0,122,60,173,16,0,0,0,0,0,0,0,0,0,0
019;311,Calcasieu-0-311,019,Calcasieu,00 311,232,20,262,77,172,2,0,0,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,149,47,30,7,0,0,0,0,0,0,0,0,0,0
019;312,Calcasieu-0-312,019,Calcasieu,00 312,763,82,854,324,526,3,0,0,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,547,134,89,16,0,0,0,0,0,0,0,0,0,0
019;313E,Calcasieu-0-313E,019,Calcasieu,00 313E,27,4,31,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,4,0,0,0,0,0,0,0,0,0,0,0
019;313W,Calcasieu-0-313W,019,Calcasieu,00 313W,217,12,233,79,146,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,143,43,22,2,0,0,0,0,0,0,0,0,0,0
019;314,Calcasieu-0-314,019,Calcasieu,00 314,199,290,505,95,402,3,3,0,0,2,0,6,2,0,0,0,0,0,0,0,0,0,0,0,136,48,285,23,0,0,0,0,0,0,0,0,0,0
019;315E,Calcasieu-0-315E,019,Calcasieu,00 315E,514,80,600,221,352,0,0,0,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,321,129,81,12,0,0,0,0,0,0,0,0,0,0
019;315W,Calcasieu-0-315W,019,Calcasieu,00 315W,124,161,290,57,220,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,39,165,4,0,0,0,0,0,0,0,0,0,0
019;316E,Calcasieu-0-316E,019,Calcasieu,00 316E,108,61,179,57,116,3,0,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,82,22,67,0,0,0,0,0,0,0,0,0,0,0
019;316W,Calcasieu-0-316W,019,Calcasieu,00 316W,66,65,136,33,88,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,41,17,63,5,0,0,0,0,0,0,0,0,0,0
019;317,Calcasieu-0-317,019,Calcasieu,00 317,322,257,590,154,392,0,0,2,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,201,82,240,14,0,0,0,0,0,0,0,0,0,0
019;318,Calcasieu-0-318,019,Calcasieu,00 318,199,163,370,84,266,2,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,126,56,147,24,0,0,0,0,0,0,0,0,0,0
019;319N,Calcasieu-0-319N,019,Calcasieu,00 319N,126,53,186,37,140,0,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,81,21,59,4,0,0,0,0,0,0,0,0,0,0
019;319S,Calcasieu-0-319S,019,Calcasieu,00 319S,92,100,197,58,132,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,15,94,4,0,0,0,0,0,0,0,0,0,0
019;320E,Calcasieu-0-320E,019,Calcasieu,00 320E,307,53,360,132,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,56,57,7,0,0,0,0,0,0,0,0,0,0
019;320W,Calcasieu-0-320W,019,Calcasieu,00 320W,352,108,470,108,342,0,2,0,3,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,231,71,114,9,0,0,0,0,0,0,0,0,0,0
019;321,Calcasieu-0-321,019,Calcasieu,00 321,460,76,544,168,356,2,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,317,84,85,5,0,0,0,0,0,0,0,0,0,0
019;322,Calcasieu-0-322,019,Calcasieu,00 322,465,121,605,174,436,5,0,0,3,3,0,4,0,4,0,0,0,0,0,0,0,0,0,0,355,89,110,14,0,0,0,0,0,0,0,0,0,0
019;323,Calcasieu-0-323,019,Calcasieu,00 323,329,76,407,133,270,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,89,79,16,0,0,0,0,0,0,0,0,0,0
019;324,Calcasieu-0-324,019,Calcasieu,00 324,498,41,551,205,338,3,0,0,2,0,2,4,0,1,0,0,0,0,0,0,0,0,0,0,344,97,51,16,0,0,0,0,0,0,0,0,0,0
019;325,Calcasieu-0-325,019,Calcasieu,00 325,160,587,759,150,578,3,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,109,48,517,51,0,0,0,0,0,0,0,0,0,0
019;326,Calcasieu-0-326,019,Calcasieu,00 326,185,523,718,122,538,2,0,0,3,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,111,58,466,35,0,0,0,0,0,0,0,0,0,0
019;327,Calcasieu-0-327,019,Calcasieu,00 327,97,210,314,73,230,2,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,72,22,191,16,0,0,0,0,0,0,0,0,0,0
019;328,Calcasieu-0-328,019,Calcasieu,00 328,600,292,900,250,622,0,1,0,4,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,437,110,293,7,0,0,0,0,0,0,0,0,0,0
019;329,Calcasieu-0-329,019,Calcasieu,00 329,523,188,724,208,514,2,0,0,6,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,351,101,203,24,0,0,0,0,0,0,0,0,0,0
019;330,Calcasieu-0-330,019,Calcasieu,00 330,548,82,639,207,410,0,1,0,2,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,357,116,75,5,0,0,0,0,0,0,0,0,0,0
019;331,Calcasieu-0-331,019,Calcasieu,00 331,145,370,526,80,430,6,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,102,45,344,21,0,0,0,0,0,0,0,0,0,0
019;332N,Calcasieu-0-332N,019,Calcasieu,00 332N,192,151,345,62,272,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,50,130,9,0,0,0,0,0,0,0,0,0,0
019;332S,Calcasieu-0-332S,019,Calcasieu,00 332S,187,196,391,75,294,3,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,136,41,183,12,0,0,0,0,0,0,0,0,0,0
019;333,Calcasieu-0-333,019,Calcasieu,00 333,280,934,1245,280,907,6,0,0,3,2,3,14,2,1,0,0,0,0,0,0,0,0,0,0,190,56,906,63,0,0,0,0,0,0,0,0,0,0
019;334,Calcasieu-0-334,019,Calcasieu,00 334,187,488,687,143,518,3,0,2,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,126,52,472,24,0,0,0,0,0,0,0,0,0,0
019;335,Calcasieu-0-335,019,Calcasieu,00 335,99,333,442,91,338,6,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,59,28,324,19,0,0,0,0,0,0,0,0,0,0
019;336,Calcasieu-0-336,019,Calcasieu,00 336,338,791,1146,247,855,3,0,0,2,2,3,4,3,0,0,0,0,0,0,0,0,0,0,0,240,63,731,49,0,0,0,0,0,0,0,0,0,0
019;337,Calcasieu-0-337,019,Calcasieu,00 337,174,472,661,148,458,3,0,0,2,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,104,48,452,16,0,0,0,0,0,0,0,0,0,0
019;338,Calcasieu-0-338,019,Calcasieu,00 338,223,525,761,185,546,2,0,0,2,3,0,4,2,0,0,0,0,0,0,0,0,0,0,0,154,50,497,26,0,0,0,0,0,0,0,0,0,0
019;339,Calcasieu-0-339,019,Calcasieu,00 339,248,961,1225,221,955,2,0,0,4,0,7,1,2,0,0,0,0,0,0,0,0,0,0,0,151,86,906,44,0,0,0,0,0,0,0,0,0,0
019;340,Calcasieu-0-340,019,Calcasieu,00 340,230,583,833,185,610,8,0,0,4,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,145,52,541,40,0,0,0,0,0,0,0,0,0,0
019;360,Calcasieu-0-360,019,Calcasieu,00 360,30,198,234,62,160,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,7,183,16,0,0,0,0,0,0,0,0,0,0
019;361,Calcasieu-0-361,019,Calcasieu,00 361,584,94,688,247,402,2,0,0,3,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,384,131,90,14,0,0,0,0,0,0,0,0,0,0
019;362,Calcasieu-0-362,019,Calcasieu,00 362,149,619,777,172,564,3,0,0,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,81,56,598,18,0,0,0,0,0,0,0,0,0,0
019;363,Calcasieu-0-363,019,Calcasieu,00 363,172,928,1119,227,863,9,0,0,6,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,102,32,912,54,0,0,0,0,0,0,0,0,0,0
019;364,Calcasieu-0-364,019,Calcasieu,00 364,733,777,1525,371,1091,2,1,0,6,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,481,183,716,40,0,0,0,0,0,0,0,0,0,0
019;365,Calcasieu-0-365,019,Calcasieu,00 365,196,1267,1481,258,1181,3,0,0,9,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1332,129,0,0,0,0,0,0,0,0
019;366,Calcasieu-0-366,019,Calcasieu,00 366,140,580,731,196,498,2,0,0,2,3,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580,90,0,0,0,0,0,0,0,0
019;367,Calcasieu-0-367,019,Calcasieu,00 367,117,630,754,137,584,0,0,0,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,644,93,0,0,0,0,0,0,0,0
019;368,Calcasieu-0-368,019,Calcasieu,00 368,189,1038,1250,318,887,3,0,0,10,2,1,6,0,1,0,0,0,0,0,0,0,0,0,0,133,50,995,45,0,0,0,0,0,0,0,0,0,0
019;369,Calcasieu-0-369,019,Calcasieu,00 369,307,952,1293,236,991,8,3,0,4,3,0,9,6,1,0,0,0,0,0,0,0,0,0,0,201,82,922,51,0,0,0,0,0,0,0,0,0,0
019;370,Calcasieu-0-370,019,Calcasieu,00 370,325,621,968,168,782,2,1,2,6,0,1,3,0,7,0,0,0,0,0,0,0,0,0,0,208,63,643,23,0,0,0,0,0,0,0,0,0,0
019;371N,Calcasieu-0-371N,019,Calcasieu,00 371N,318,272,604,163,380,2,0,0,6,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,121,0,0,0,0,0,0,0,0
019;371S,Calcasieu-0-371S,019,Calcasieu,00 371S,225,991,1232,245,917,3,0,0,4,2,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011,151,0,0,0,0,0,0,0,0
019;372,Calcasieu-0-372,019,Calcasieu,00 372,180,875,1076,249,780,11,0,0,3,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,111,43,857,40,0,0,0,0,0,0,0,0,0,0
019;400,Calcasieu-0-400,019,Calcasieu,00 400,106,595,711,186,498,0,0,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598,99,0,0,0,0,0,0,0,0
019;401,Calcasieu-0-401,019,Calcasieu,00 401,97,368,477,111,336,5,0,0,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371,68,0,0,0,0,0,0,0,0
019;402,Calcasieu-0-402,019,Calcasieu,00 402,84,352,449,88,330,5,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,88,0,0,0,0,0,0,0,0
019;403,Calcasieu-0-403,019,Calcasieu,00 403,140,482,635,164,430,6,0,0,2,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489,109,0,0,0,0,0,0,0,0
019;404,Calcasieu-0-404,019,Calcasieu,00 404,169,734,921,210,696,6,0,1,4,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,744,175,0,0,0,0,0,0,0,0
019;405,Calcasieu-0-405,019,Calcasieu,00 405,264,1140,1428,313,1041,8,0,0,6,0,6,1,0,3,0,0,0,0,0,0,0,0,0,0,165,67,1095,54,0,0,0,0,0,0,0,0,0,0
019;406,Calcasieu-0-406,019,Calcasieu,00 406,126,603,743,159,538,2,1,0,3,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624,101,0,0,0,0,0,0,0,0
019;407,Calcasieu-0-407,019,Calcasieu,00 407,111,536,664,152,466,5,1,0,6,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568,82,0,0,0,0,0,0,0,0
019;408,Calcasieu-0-408,019,Calcasieu,00 408,128,656,807,183,562,5,0,0,6,3,0,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,646,119,0,0,0,0,0,0,0,0
019;440,Calcasieu-0-440,019,Calcasieu,00 440,246,771,1027,245,716,0,0,1,4,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,165,50,698,52,0,0,0,0,0,0,0,0,0,0
